Timestamp,Daily Usage (kWh)
2024-08-07,6.5600000000000005
2024-08-08,6.79
2024-08-09,7.52
2024-08-10,9.83
2024-08-11,9.38
2024-08-12,9.64
2024-08-13,11.71
2024-08-14,11.870000000000001
2024-08-15,12.11
2024-08-16,12.94
2024-08-17,12.71
2024-08-18,15.16
2024-08-19,11.5
2024-08-20,13.2
2024-08-21,15.6
2024-08-22,19.16
2024-08-23,14.58
2024-08-24,11.32
2024-08-25,15.67
2024-08-26,13.35
2024-08-27,16.91
2024-08-28,16.73
2024-08-29,20.94
2024-08-30,14.82
2024-08-31,15.95
2024-09-01,11.57
2024-09-02,16.06
2024-09-03,20.94
2024-09-04,19.71
2024-09-05,20.33
2024-09-06,15.89
2024-09-07,16.51
2024-09-08,16.43
2024-09-09,20.34
2024-09-10,15.77
2024-09-11,16.26
2024-09-12,19.23
2024-09-13,17.56
2024-09-14,17.63
2024-09-15,17.39
2024-09-16,13.01
2024-09-17,17.22
2024-09-18,13.57
2024-09-19,16.37
2024-09-20,13.07
2024-09-21,14.27
2024-09-22,18.77
2024-09-23,16.75
2024-09-24,16.94
2024-09-25,14.370000000000001
2024-09-26,12.02
2024-09-27,15.120000000000001
2024-09-28,15.44
2024-09-29,15.120000000000001
2024-09-30,11.67
2024-10-01,18.77
2024-10-02,18.07
2024-10-03,17.990000000000002
2024-10-04,15.75
2024-10-05,17.27
2024-10-06,14.91
2024-10-07,19.06
2024-10-08,18.5
2024-10-09,13.84
2024-10-10,9.33
2024-10-11,11.18
2024-10-12,16.04
2024-10-13,14.89
2024-10-14,12.24
2024-10-15,13.36
2024-10-16,13.07
2024-10-17,12.01
2024-10-18,9.53
2024-10-19,7.5
2024-10-20,10.22
2024-10-21,10.98
2024-10-22,11.81
2024-10-23,16.02
2024-10-24,15.99
2024-10-25,11.84
2024-10-26,18.1
2024-10-27,17.61
2024-10-28,15.69
2024-10-29,11.06
2024-10-30,8.69
2024-10-31,10.540000000000001
2024-11-01,5.45
2024-11-02,8.24
2024-11-03,7.93
2024-11-04,10.43
2024-11-05,9.83
2024-11-06,9.71
2024-11-07,8.92
2024-11-08,11.63
2024-11-09,9.39
2024-11-10,10.46
2024-11-11,8.950000000000001
2024-11-12,10.790000000000001
2024-11-13,10.07
2024-11-14,7.47
2024-11-15,10.21
2024-11-16,10.39
2024-11-17,9.83
2024-11-18,14.120000000000001
2024-11-19,8.66
2024-11-20,13.46
2024-11-21,11.25
2024-11-22,15.77
2024-11-23,9.51
2024-11-24,10.77
2024-11-25,8.700000000000001
2024-11-26,11.58
2024-11-27,11.15
2024-11-28,6.69
2024-11-29,6.140000000000001
